prompt,gold_label,mapper_top,mapper_conf,audit_best,decision,reason,approved,threshold
remove liquidity from 1837.0486 ARB — asap,withdraw_asset,deposit_asset,0.5980,withdraw_asset,reject,low_confidence,False,0.8000
harvest compound on solana — asap,claim_rewards,claim_rewards,1.0000,,reject,no_span_evidence,False,0.8000
provide 4569.792 OP to balancer on arbitrum — asap,deposit_asset,deposit_asset,0.7083,deposit_asset,reject,low_confidence,False,0.8000
swap 2947.6869 OP to ARB on stargate ,swap_asset,deposit_asset,0.9755,swap_asset,reject,audit_mismatch:deposit_asset_vs_swap_asset,False,0.8000
repay 4717.1354 USDT into sushiswap on ethereum ,repay_asset,swap_asset,0.5656,repay_asset,reject,low_confidence,False,0.8000
collect rewards on compound on avalanche — minimize gas,claim_rewards,claim_rewards,1.0000,claim_rewards,approve,,True,0.8000
stake 3145.4313 DAI ,stake_asset,stake_asset,0.7949,stake_asset,reject,low_confidence,False,0.8000
open a loan for 598.7582 DAI — asap,borrow_asset,borrow_asset,0.9885,,reject,no_span_evidence,False,0.8000
pay back 2805.1238 DAI — minimize gas,repay_asset,repay_asset,0.9815,repay_asset,approve,,True,0.8000
harvest compound on polygon ,claim_rewards,claim_rewards,0.9815,,reject,no_span_evidence,False,0.8000
open a loan for 1495.415 SOL — asap,borrow_asset,borrow_asset,0.9885,,reject,no_span_evidence,False,0.8000
pay back 4763.4888 SOL to balancer on ethereum ,repay_asset,repay_asset,1.0000,repay_asset,approve,,True,0.8000
redeem 2087.7159 WETH from stargate on solana — safe mode,withdraw_asset,withdraw_asset,0.9841,,reject,no_span_evidence,False,0.8000
unstake and take out 3858.6593 MATIC from curve on ethereum — minimize gas,withdraw_asset,unstake_asset,0.8542,,reject,no_span_evidence,False,0.8000
bond 3245.3465 USDT — low slippage,stake_asset,borrow_asset,0.1250,stake_asset,reject,low_confidence,False,0.8000
unlock 1870.5117 AAVE into aave on solana — low slippage,unstake_asset,unstake_asset,1.0000,unstake_asset,approve,,True,0.8000
close out the loan for 1863.9395 WBTC into yearn on ethereum — asap,repay_asset,borrow_asset,0.6202,,reject,low_confidence,False,0.8000
redeem 2474.221 WETH — safe mode,withdraw_asset,withdraw_asset,1.0000,,reject,no_span_evidence,False,0.8000
unlock 1316.1171 AAVE into stargate on avalanche — asap,unstake_asset,unstake_asset,0.8141,unstake_asset,approve,,True,0.8000
lock 2850.5454 ARB — safe mode,stake_asset,stake_asset,0.9259,stake_asset,approve,,True,0.8000
swap 991.2209 WETH to MATIC on compound ,swap_asset,swap_asset,0.6344,swap_asset,reject,low_confidence,False,0.8000
unlock 651.5128 OP from aave on ethereum ,unstake_asset,unstake_asset,1.0000,unstake_asset,approve,,True,0.8000
harvest stargate on ethereum — use normal gas,claim_rewards,claim_rewards,0.9779,,reject,no_span_evidence,False,0.8000
unstake and take out 1941.4165 LINK — use normal gas,withdraw_asset,withdraw_asset,0.5803,,reject,low_confidence,False,0.8000
unlock 1934.7091 ETH — use normal gas,unstake_asset,unstake_asset,1.0000,unstake_asset,approve,,True,0.8000
open a loan for 4425.1251 ETH into curve on solana — asap,borrow_asset,borrow_asset,0.9663,,reject,no_span_evidence,False,0.8000
supply 231.3364 USDC — safe mode,deposit_asset,deposit_asset,0.6280,deposit_asset,reject,low_confidence,False,0.8000
withdraw 2728.1894 ARB — asap,withdraw_asset,withdraw_asset,0.5354,withdraw_asset,reject,low_confidence,False,0.8000
deposit 2830.0075 AVAX into balancer on ethereum — asap,deposit_asset,deposit_asset,1.0000,deposit_asset,approve,,True,0.8000
repay 3112.8116 WETH to yearn on polygon ,repay_asset,repay_asset,1.0000,repay_asset,approve,,True,0.8000
unbond 567.6572 ARB into yearn on base ,unstake_asset,withdraw_asset,0.4081,unstake_asset,reject,low_confidence,False,0.8000
bond 2312.3418 SOL to stargate on optimism ,stake_asset,stake_asset,0.4167,stake_asset,reject,low_confidence,False,0.8000
borrow 4257.2397 AVAX into balancer on avalanche — safe mode,borrow_asset,borrow_asset,0.4167,borrow_asset,reject,low_confidence,False,0.8000
deposit 1150.5221 MATIC to curve on polygon — asap,deposit_asset,deposit_asset,1.0000,deposit_asset,approve,,True,0.8000
