idx,prompt,gold,had_spans,decision,reason,peak,rel,null,span_terms,comp_seq,hallucinated_non_gold,multi_accept
0,claim staking rewards on aave base,claim_rewards,True,PASS,pass,1.3798,0.7609,1.8134,claim|staking rewards|staking rewards on,claim_rewards|unstake_asset|stake_asset,False,True
1,pull out 2752.8264 ARB from lido,withdraw_asset,True,PASS,pass,1.814,0.9302,1.95,pull out|pull|from,withdraw_asset|unstake_asset,False,True
2,"restake 33.8529 MATIC with balancer on solana — this minute, use normal gas",stake_asset,True,PASS,pass,2.5064,1.0,2.5064,restake|restake 33|restake 33 8529,stake_asset,False,False
3,deposit 4697 USDC into uniswap on base,deposit_asset,True,PASS,pass,1.8645,0.9455,1.972,deposit|deposit 4697|deposit 4697 usdc,deposit_asset|unstake_asset,False,True
4,supply 7.0245 SOL to maker,deposit_asset,True,PASS,pass,1.5996,0.9001,1.7771,supply|supply 7|supply 7 0245,deposit_asset,False,False
5,"convert 7064 USDT into LINK via sushiswap on arbitrum — minimize gas, safe mode",swap_asset,True,PASS,pass,1.5772,0.9373,1.6828,convert|into|convert 7064,swap_asset|deposit_asset,False,True
6,repay 2861.82 LINK on maker (optimism) — use normal gas,repay_asset,True,PASS,pass,2.2551,0.9973,2.2611,repay|repay 2861|repay 2861 82,repay_asset,False,False
7,collect incentives at balancer (base) — now,claim_rewards,True,PASS,pass,2.2273,0.9443,2.3587,collect incentives|collect incentives at|incentives,claim_rewards,False,False
8,delegate 4020.4921 OP to pendle (arbitrum),stake_asset,True,PASS,pass,1.8109,0.9449,1.9164,delegate|delegate 4020|delegate 4020 4921,stake_asset,False,False
9,restake 1.876441 BTC with yearn on optimism — now,stake_asset,True,PASS,pass,2.3968,0.9898,2.4215,restake|restake 1|restake 1 876441,stake_asset,False,False
10,restake 39.238 MATIC with lido on avalanche — immediately,stake_asset,True,PASS,pass,2.207,0.9912,2.2265,restake|restake 39|restake 39 238,stake_asset,False,False
11,claim staking rewards on sushiswap arbitrum — use fast gas,claim_rewards,True,PASS,pass,1.6705,0.8356,1.9991,claim|staking rewards|staking rewards on,claim_rewards|unstake_asset|stake_asset,False,True
12,reduce loan by 4808.8879 ARB on compound (solana) — this minute,repay_asset,True,PASS,pass,1.8273,0.9834,1.8581,loan|reduce loan|loan by,borrow_asset|repay_asset,False,True
13,remove 36.8239 SOL from aave,withdraw_asset,True,ABSTAIN,below_threshold,0.7077,0.7896,0.8963,from|remove,,False,False
14,harvest yield from maker on ethereum,claim_rewards,True,PASS,pass,1.6748,0.8689,1.9276,harvest|harvest yield|harvest yield from,claim_rewards|withdraw_asset,False,True
15,"collect incentives at compound (optimism) — use fast gas, normal mode",claim_rewards,True,PASS,pass,2.7123,0.9965,2.7218,collect incentives|collect incentives at|incentives,claim_rewards,False,False
16,lock 0.668373 WBTC in pendle on avalanche,stake_asset,True,PASS,pass,1.7974,0.9492,1.8937,lock|lock 0|lock 0 668373 wbtc,stake_asset|unstake_asset,False,True
17,unstake 786.2037 AAVE from lido on arbitrum,unstake_asset,True,PASS,pass,1.9279,0.978,1.9713,unstake|unstake 786|unstake 786 2037,unstake_asset,False,False
18,"withdraw staked 0.667255 WBTC from pendle optimism — right away, use normal gas",unstake_asset,True,PASS,pass,2.5261,0.997,2.5337,withdraw staked|withdraw staked 0|withdraw staked 0 667255,unstake_asset|stake_asset|withdraw_asset,False,True
19,"collect incentives at maker (solana) — asap, use normal gas, normal mode",claim_rewards,True,PASS,pass,2.8119,0.9994,2.8136,collect incentives|collect incentives at|incentives,claim_rewards,False,False
20,convert 704.7582 AAVE into USDT via uniswap on arbitrum — minimize gas,swap_asset,True,PASS,pass,1.6132,0.9398,1.7165,convert|convert 704|into,swap_asset|unstake_asset|deposit_asset,False,True
21,harvest yield from balancer on solana — high yield mode,claim_rewards,True,PASS,pass,2.3688,0.9883,2.3969,harvest|harvest yield|harvest yield from,claim_rewards,False,False
22,borrow 19.5336 AVAX from aave on base using DAI as collateral,borrow_asset,True,PASS,pass,2.4946,0.9999,2.4947,borrow|borrow 19|borrow 19 5336,borrow_asset|repay_asset,False,True
23,swap 860.4607 ARB to WBTC on sushiswap arbitrum with slippage 0.1% — asap,swap_asset,True,PASS,pass,2.3818,1.0,2.3818,swap|swap 860|swap 860 4607,swap_asset,False,False
24,cash out 0.195658 BTC from pendle (base),withdraw_asset,True,PASS,pass,1.5485,0.8879,1.744,cash out|cash out 0|from,withdraw_asset|unstake_asset,False,True
25,unstow 4257.5573 OP from sushiswap on polygon — immediately,withdraw_asset,True,ABSTAIN,below_threshold,0.7077,1.0,0.7077,from,unstake_asset,True,False
26,move 20.2498 WETH into sushiswap on arbitrum,deposit_asset,True,PASS,pass,1.0175,0.9723,1.0464,into|weth into,deposit_asset,False,False
27,undelegate 10.317 WETH on balancer (polygon),unstake_asset,True,PASS,pass,2.0353,0.9396,2.1662,undelegate|undelegate 10|undelegate 10 317,unstake_asset,False,False
28,move 25.9116 MATIC into sushiswap on arbitrum — safe mode,deposit_asset,True,ABSTAIN,below_threshold,0.6823,1.0,0.6823,into,,False,False
29,withdraw staked 1.974382 BTC from pendle arbitrum — use normal gas,unstake_asset,True,PASS,pass,2.3727,0.9844,2.4104,withdraw staked|withdraw staked 1|withdraw staked 1 974382,unstake_asset|stake_asset|withdraw_asset,False,True
30,withdraw 18534 USDT from sushiswap on polygon,withdraw_asset,True,PASS,pass,1.5121,0.9046,1.6715,withdraw|from|withdraw 18534,withdraw_asset,False,False
