id,prompt,primitive
0,remove 2 ETH,withdraw_asset
1,take loan of 10 WBTC,borrow_asset
2,repay 100 ETH,repay_asset
3,withdraw 5 DAI,withdraw_asset
4,get 50 DAI credit,borrow_asset
5,put in 100 ETH,deposit_asset
6,withdraw 1 ETH,withdraw_asset
7,return 1 ETH,repay_asset
8,swap 100 USDC to DAI,swap_asset
9,repay 2 DAI,repay_asset
10,withdraw 10 USDC,withdraw_asset
11,settle 50 WBTC debt,repay_asset
12,swap 5 WBTC to DAI,swap_asset
13,repay 5 WBTC,repay_asset
14,exchange 2 ETH for DAI,swap_asset
15,remove 2 ETH,withdraw_asset
16,obtain 100 WBTC,borrow_asset
17,withdraw 100 ETH,withdraw_asset
18,trade 1 ETH into WBTC,swap_asset
19,swap 10 WBTC to DAI,swap_asset
20,trade 1 DAI into USDC,swap_asset
21,top up 100 WBTC,deposit_asset
22,pay back 5 WBTC,repay_asset
23,pay back 100 DAI,repay_asset
24,obtain 1 USDC,borrow_asset
25,trade 50 ETH into WBTC,swap_asset
26,top up 100 WBTC,deposit_asset
27,repay 5 WBTC,repay_asset
28,deposit 100 WBTC,deposit_asset
29,cash out 10 DAI,withdraw_asset
30,pay back 100 ETH,repay_asset
31,cash out 2 ETH,withdraw_asset
32,borrow 10 USDC,borrow_asset
33,top up 100 USDC,deposit_asset
34,borrow 100 WBTC,borrow_asset
35,add 100 USDC to account,deposit_asset
36,remove 2 ETH,withdraw_asset
37,settle 100 USDC debt,repay_asset
38,remove 100 WBTC,withdraw_asset
39,return 10 ETH,repay_asset
40,exchange 5 DAI for USDC,swap_asset
41,exchange 50 ETH for DAI,swap_asset
42,obtain 100 ETH,borrow_asset
43,remove 5 WBTC,withdraw_asset
44,pay back 1 WBTC,repay_asset
45,return 2 USDC,repay_asset
46,convert 10 USDC into DAI,swap_asset
47,pay back 10 DAI,repay_asset
48,repay 2 DAI,repay_asset
49,deposit 100 USDC,deposit_asset
50,pay back 5 ETH,repay_asset
51,top up 2 WBTC,deposit_asset
52,borrow 50 ETH,borrow_asset
53,return 100 USDC,repay_asset
54,remove 1 USDC,withdraw_asset
55,remove 50 ETH,withdraw_asset
56,deposit 1 ETH,deposit_asset
57,trade 5 USDC into DAI,swap_asset
58,return 50 ETH,repay_asset
59,swap 50 USDC to DAI,swap_asset
60,pay back 10 WBTC,repay_asset
61,convert 1 WBTC into ETH,swap_asset
62,take out 100 USDC,withdraw_asset
63,withdraw 10 DAI,withdraw_asset
64,add 50 WBTC to account,deposit_asset
65,convert 2 WBTC into DAI,swap_asset
66,settle 2 WBTC debt,repay_asset
67,settle 5 USDC debt,repay_asset
68,take out 5 ETH,withdraw_asset
69,pay back 100 DAI,repay_asset
70,return 50 USDC,repay_asset
71,repay 50 WBTC,repay_asset
72,exchange 5 WBTC for DAI,swap_asset
73,exchange 50 WBTC for ETH,swap_asset
74,exchange 1 ETH for DAI,swap_asset
75,remove 10 WBTC,withdraw_asset
76,get 2 USDC credit,borrow_asset
77,cash out 50 DAI,withdraw_asset
78,obtain 5 ETH,borrow_asset
79,get 2 WBTC credit,borrow_asset
80,pay back 5 WBTC,repay_asset
81,take out 50 DAI,withdraw_asset
82,pay back 10 USDC,repay_asset
83,take loan of 50 ETH,borrow_asset
84,trade 1 ETH into USDC,swap_asset
85,convert 100 DAI into ETH,swap_asset
86,obtain 10 USDC,borrow_asset
87,withdraw 10 WBTC,withdraw_asset
88,exchange 2 ETH for WBTC,swap_asset
89,convert 10 WBTC into ETH,swap_asset
90,trade 2 DAI into USDC,swap_asset
91,convert 100 ETH into USDC,swap_asset
92,add 100 DAI to account,deposit_asset
93,get 50 DAI credit,borrow_asset
94,deposit 10 ETH,deposit_asset
95,add 10 ETH to account,deposit_asset
96,add 5 ETH to account,deposit_asset
97,withdraw 50 USDC,withdraw_asset
98,trade 10 WBTC into ETH,swap_asset
99,remove 2 ETH,withdraw_asset
