prompt,gold_label,predicted,confidence,abstain,threshold
deposit 10 ETH into aave,deposit_asset,deposit_asset,0.8194,False,0.4
add 100 USDC to my compound account,deposit_asset,deposit_asset,1.0000,False,0.4
supply 50 DAI into yearn,deposit_asset,deposit_asset,0.5896,False,0.4
stake 20 ETH into curve,deposit_asset,,0.3333,True,0.4
provide liquidity of 200 USDC,deposit_asset,deposit_asset,0.7429,False,0.4
deposit funds into makerdao vault,deposit_asset,deposit_asset,0.7217,False,0.4
top up my lending account with 300 DAI,deposit_asset,deposit_asset,0.9333,False,0.4
fund my position with 2 ETH,deposit_asset,withdraw_asset,0.4005,False,0.4
send 1 WBTC into compound,deposit_asset,,0.3161,True,0.4
put 75 USDT into aave,deposit_asset,check_balance,0.5532,False,0.4
supply collateral: 250 DAI on aave,deposit_asset,withdraw_asset,0.9703,False,0.4
add funds to compound: 400 USDC,deposit_asset,deposit_asset,1.0000,False,0.4
deposit my ETH into lending,deposit_asset,deposit_asset,0.7667,False,0.4
stake some DAI on yearn,deposit_asset,swap_asset,0.5085,False,0.4
supply 100 USDT to compound,deposit_asset,deposit_asset,1.0000,False,0.4
move 3 ETH into aave as collateral,deposit_asset,deposit_asset,0.8344,False,0.4
add 50 USDC liquidity to pool,deposit_asset,deposit_asset,0.8509,False,0.4
deposit 1000 DAI into makerdao,deposit_asset,deposit_asset,0.6046,False,0.4
top up position with 25 USDC,deposit_asset,deposit_asset,0.4167,False,0.4
add another 0.5 WBTC to compound,deposit_asset,deposit_asset,0.7097,False,0.4
provide 60 DAI to lending,deposit_asset,deposit_asset,0.6997,False,0.4
fund aave with 2.5 ETH,deposit_asset,deposit_asset,0.6094,False,0.4
supply usdc on aave: 120,deposit_asset,check_balance,0.6234,False,0.4
add dai collateral in maker vault,deposit_asset,withdraw_asset,0.7738,False,0.4
stake 15 ETH into a lending market,deposit_asset,deposit_asset,0.6962,False,0.4
add more USDT to compound,deposit_asset,deposit_asset,0.7742,False,0.4
deposit 220 DAI for collateral,deposit_asset,deposit_asset,0.7008,False,0.4
supply 90 USDC to lending pool,deposit_asset,deposit_asset,0.8954,False,0.4
put 4 ETH into aave v3,deposit_asset,deposit_asset,0.5833,False,0.4
deposit stablecoins into compound,deposit_asset,deposit_asset,0.8291,False,0.4
withdraw 200 USDC from compound,withdraw_asset,withdraw_asset,0.7763,False,0.4
redeem my 50 DAI,withdraw_asset,withdraw_asset,0.9166,False,0.4
unstake 2 ETH from aave,withdraw_asset,withdraw_asset,1.0000,False,0.4
pull out 100 USDC from lending pool,withdraw_asset,withdraw_asset,0.7857,False,0.4
take out 1 WBTC from curve,withdraw_asset,check_balance,0.4240,False,0.4
remove liquidity of 500 USDT,withdraw_asset,withdraw_asset,0.8077,False,0.4
cash out my dai from compound,withdraw_asset,withdraw_asset,0.7661,False,0.4
withdraw my position of 10 ETH,withdraw_asset,withdraw_asset,1.0000,False,0.4
take out my funds from makerdao vault,withdraw_asset,withdraw_asset,0.7966,False,0.4
close my position and withdraw,withdraw_asset,withdraw_asset,0.8255,False,0.4
redeem collateral 300 DAI from aave,withdraw_asset,withdraw_asset,1.0000,False,0.4
withdraw everything from compound,withdraw_asset,withdraw_asset,0.8190,False,0.4
unstake my ETH and return to wallet,withdraw_asset,withdraw_asset,0.8217,False,0.4
pull my usdc out of lending,withdraw_asset,withdraw_asset,1.0000,False,0.4
redeem 25 USDT from pool,withdraw_asset,withdraw_asset,0.6481,False,0.4
withdraw 0.2 WBTC from compound,withdraw_asset,withdraw_asset,0.7609,False,0.4
take back 60 DAI collateral,withdraw_asset,withdraw_asset,1.0000,False,0.4
