prompt,gold_label,mapper_top,mapper_conf,audit_sequence,audit_decision,approved
remove liquidity from 1837.0486 ARB — asap,withdraw_asset,deposit_asset,0.5980,,ABSTAIN,False
harvest compound on solana — asap,claim_rewards,claim_rewards,1.0000,,ABSTAIN,False
provide 4569.792 OP to balancer on arbitrum — asap,deposit_asset,deposit_asset,0.7083,,ABSTAIN,False
swap 2947.6869 OP to ARB on stargate ,swap_asset,deposit_asset,0.9755,swap_asset,PASS,True
repay 4717.1354 USDT into sushiswap on ethereum ,repay_asset,swap_asset,0.5656,repay_asset,PASS,True
collect rewards on compound on avalanche — minimize gas,claim_rewards,claim_rewards,1.0000,claim_rewards,PASS,True
stake 3145.4313 DAI ,stake_asset,stake_asset,0.7949,,ABSTAIN,False
open a loan for 598.7582 DAI — asap,borrow_asset,borrow_asset,0.9885,repay_asset|borrow_asset,PASS,True
pay back 2805.1238 DAI — minimize gas,repay_asset,repay_asset,0.9815,repay_asset,PASS,True
harvest compound on polygon ,claim_rewards,claim_rewards,0.9815,,ABSTAIN,False
open a loan for 1495.415 SOL — asap,borrow_asset,borrow_asset,0.9885,repay_asset|borrow_asset,PASS,True
pay back 4763.4888 SOL to balancer on ethereum ,repay_asset,repay_asset,1.0000,repay_asset,PASS,True
redeem 2087.7159 WETH from stargate on solana — safe mode,withdraw_asset,withdraw_asset,0.9841,,ABSTAIN,False
unstake and take out 3858.6593 MATIC from curve on ethereum — minimize gas,withdraw_asset,unstake_asset,0.8542,unstake_asset|withdraw_asset,PASS,True
bond 3245.3465 USDT — low slippage,stake_asset,borrow_asset,0.1250,,ABSTAIN,False
unlock 1870.5117 AAVE into aave on solana — low slippage,unstake_asset,unstake_asset,1.0000,,ABSTAIN,False
close out the loan for 1863.9395 WBTC into yearn on ethereum — asap,repay_asset,borrow_asset,0.6202,borrow_asset|withdraw_asset|repay_asset,PASS,True
redeem 2474.221 WETH — safe mode,withdraw_asset,withdraw_asset,1.0000,,ABSTAIN,False
unlock 1316.1171 AAVE into stargate on avalanche — asap,unstake_asset,unstake_asset,0.8141,,ABSTAIN,False
lock 2850.5454 ARB — safe mode,stake_asset,stake_asset,0.9259,,ABSTAIN,False
swap 991.2209 WETH to MATIC on compound ,swap_asset,swap_asset,0.6344,,ABSTAIN,False
unlock 651.5128 OP from aave on ethereum ,unstake_asset,unstake_asset,1.0000,,ABSTAIN,False
harvest stargate on ethereum — use normal gas,claim_rewards,claim_rewards,0.9779,,ABSTAIN,False
unstake and take out 1941.4165 LINK — use normal gas,withdraw_asset,withdraw_asset,0.5803,unstake_asset|withdraw_asset,PASS,True
unlock 1934.7091 ETH — use normal gas,unstake_asset,unstake_asset,1.0000,,ABSTAIN,False
open a loan for 4425.1251 ETH into curve on solana — asap,borrow_asset,borrow_asset,0.9663,repay_asset|borrow_asset,PASS,True
supply 231.3364 USDC — safe mode,deposit_asset,deposit_asset,0.6280,,ABSTAIN,False
withdraw 2728.1894 ARB — asap,withdraw_asset,withdraw_asset,0.5354,,ABSTAIN,False
deposit 2830.0075 AVAX into balancer on ethereum — asap,deposit_asset,deposit_asset,1.0000,,ABSTAIN,False
repay 3112.8116 WETH to yearn on polygon ,repay_asset,repay_asset,1.0000,repay_asset,PASS,True
unbond 567.6572 ARB into yearn on base ,unstake_asset,withdraw_asset,0.4081,,ABSTAIN,False
bond 2312.3418 SOL to stargate on optimism ,stake_asset,stake_asset,0.4167,,ABSTAIN,False
borrow 4257.2397 AVAX into balancer on avalanche — safe mode,borrow_asset,borrow_asset,0.4167,,ABSTAIN,False
deposit 1150.5221 MATIC to curve on polygon — asap,deposit_asset,deposit_asset,1.0000,,ABSTAIN,False
open a loan for 3680.6104 WETH from uniswap on base — minimize gas,borrow_asset,borrow_asset,1.0000,repay_asset|borrow_asset|unstake_asset,PASS,True
supply 3835.2223 AVAX to aave on avalanche — minimize gas,deposit_asset,deposit_asset,0.7083,,ABSTAIN,False
unstake and take out 4664.7171 WBTC into yearn on polygon — safe mode,withdraw_asset,unstake_asset,0.8542,unstake_asset|withdraw_asset,PASS,True
draw 4783.1214 USDT into curve on ethereum — asap,borrow_asset,deposit_asset,0.7083,,ABSTAIN,False
collect rewards on sushiswap on ethereum — low slippage,claim_rewards,claim_rewards,0.7164,claim_rewards,PASS,True
supply 906.1149 ETH — safe mode,deposit_asset,deposit_asset,0.8495,,ABSTAIN,False
claim rewards from compound on solana ,claim_rewards,claim_rewards,1.0000,claim_rewards,PASS,True
unlock 963.2996 MATIC — asap,unstake_asset,unstake_asset,0.8436,,ABSTAIN,False
top up 2587.6976 WETH into compound on base — minimize gas,deposit_asset,deposit_asset,1.0000,,ABSTAIN,False
redeem 2578.5127 ARB — safe mode,withdraw_asset,withdraw_asset,1.0000,,ABSTAIN,False
exchange 1890.7595 AAVE to WETH on sushiswap — asap,swap_asset,swap_asset,0.4882,,ABSTAIN,False
collect rewards on sushiswap on arbitrum — safe mode,claim_rewards,claim_rewards,1.0000,claim_rewards,PASS,True
stake 750.8843 WBTC to stargate on ethereum — low slippage,stake_asset,stake_asset,0.5198,,ABSTAIN,False
close out the loan for 635.9779 ETH to compound on avalanche — asap,repay_asset,repay_asset,0.7453,borrow_asset|withdraw_asset|repay_asset,PASS,True
redeem 2387.6623 SOL — asap,withdraw_asset,withdraw_asset,1.0000,,ABSTAIN,False
unbond 4986.1516 LINK into stargate on base — asap,unstake_asset,unstake_asset,0.9764,,ABSTAIN,False
claim rewards from balancer on base — asap,claim_rewards,claim_rewards,1.0000,claim_rewards,PASS,True
deposit 2328.0005 LINK to sushiswap on avalanche — minimize gas,deposit_asset,deposit_asset,1.0000,,ABSTAIN,False
bond 599.3507 DAI into curve on avalanche — safe mode,stake_asset,stake_asset,0.4167,,ABSTAIN,False
stake 471.7254 USDC into uniswap on ethereum — safe mode,stake_asset,unstake_asset,1.0000,unstake_asset,PASS,True
repay 2194.2693 LINK into yearn on polygon — low slippage,repay_asset,repay_asset,1.0000,repay_asset,PASS,True
harvest balancer on polygon — low slippage,claim_rewards,claim_rewards,1.0000,,ABSTAIN,False
unlock 4031.2368 LINK into sushiswap on optimism — asap,unstake_asset,unstake_asset,0.6667,,ABSTAIN,False
unlock 4818.3447 ARB into curve on solana — use normal gas,unstake_asset,unstake_asset,1.0000,,ABSTAIN,False
lock 1170.9452 AVAX to aave on solana — safe mode,stake_asset,stake_asset,1.0000,,ABSTAIN,False
