prompt,gold_label,predicted,confidence,abstain,threshold
claim staking rewards on aave base,claim_rewards,claim_rewards,1.0000,False,0.7
pull out 2752.8264 ARB from lido,withdraw_asset,withdraw_asset,0.9268,False,0.7
"restake 33.8529 MATIC with balancer on solana — this minute, use normal gas",stake_asset,stake_asset,0.9412,False,0.7
deposit 4697 USDC into uniswap on base,deposit_asset,deposit_asset,1.0000,False,0.7
supply 7.0245 SOL to maker,deposit_asset,deposit_asset,1.0000,False,0.7
"convert 7064 USDT into LINK via sushiswap on arbitrum — minimize gas, safe mode",swap_asset,swap_asset,0.7996,False,0.7
repay 2861.82 LINK on maker (optimism) — use normal gas,repay_asset,repay_asset,1.0000,False,0.7
collect incentives at balancer (base) — now,claim_rewards,claim_rewards,1.0000,False,0.7
delegate 4020.4921 OP to pendle (arbitrum),stake_asset,stake_asset,1.0000,False,0.7
restake 1.876441 BTC with yearn on optimism — now,stake_asset,stake_asset,1.0000,False,0.7
restake 39.238 MATIC with lido on avalanche — immediately,stake_asset,stake_asset,0.9885,False,0.7
claim staking rewards on sushiswap arbitrum — use fast gas,claim_rewards,claim_rewards,1.0000,False,0.7
reduce loan by 4808.8879 ARB on compound (solana) — this minute,repay_asset,repay_asset,0.9052,False,0.7
remove 36.8239 SOL from aave,withdraw_asset,withdraw_asset,1.0000,False,0.7
harvest yield from maker on ethereum,claim_rewards,claim_rewards,1.0000,False,0.7
"collect incentives at compound (optimism) — use fast gas, normal mode",claim_rewards,claim_rewards,1.0000,False,0.7
lock 0.668373 WBTC in pendle on avalanche,stake_asset,stake_asset,0.9530,False,0.7
unstake 786.2037 AAVE from lido on arbitrum,unstake_asset,unstake_asset,0.9815,False,0.7
"withdraw staked 0.667255 WBTC from pendle optimism — right away, use normal gas",unstake_asset,unstake_asset,1.0000,False,0.7
"collect incentives at maker (solana) — asap, use normal gas, normal mode",claim_rewards,claim_rewards,0.9744,False,0.7
convert 704.7582 AAVE into USDT via uniswap on arbitrum — minimize gas,swap_asset,swap_asset,1.0000,False,0.7
harvest yield from balancer on solana — high yield mode,claim_rewards,claim_rewards,1.0000,False,0.7
borrow 19.5336 AVAX from aave on base using DAI as collateral,borrow_asset,borrow_asset,1.0000,False,0.7
swap 860.4607 ARB to WBTC on sushiswap arbitrum with slippage 0.1% — asap,swap_asset,swap_asset,1.0000,False,0.7
cash out 0.195658 BTC from pendle (base),withdraw_asset,withdraw_asset,0.9885,False,0.7
unstow 4257.5573 OP from sushiswap on polygon — immediately,withdraw_asset,withdraw_asset,1.0000,False,0.7
move 20.2498 WETH into sushiswap on arbitrum,deposit_asset,deposit_asset,0.7635,False,0.7
undelegate 10.317 WETH on balancer (polygon),unstake_asset,unstake_asset,1.0000,False,0.7
move 25.9116 MATIC into sushiswap on arbitrum — safe mode,deposit_asset,deposit_asset,0.8025,False,0.7
withdraw staked 1.974382 BTC from pendle arbitrum — use normal gas,unstake_asset,unstake_asset,1.0000,False,0.7
withdraw 18534 USDT from sushiswap on polygon,withdraw_asset,withdraw_asset,0.9372,False,0.7
swap 0.240081 WBTC to WETH on balancer solana,swap_asset,swap_asset,1.0000,False,0.7
add liquidity: deposit 34.7951 SOL to aave (ethereum) — safe mode,deposit_asset,deposit_asset,1.0000,False,0.7
market swap 5930 USDT->SOL using sushiswap on arbitrum — safe mode,swap_asset,swap_asset,1.0000,False,0.7
claim rewards on lido (polygon),claim_rewards,claim_rewards,1.0000,False,0.7
reduce loan by 27.7855 SOL on maker (polygon) — use normal gas,repay_asset,repay_asset,0.9744,False,0.7
claim rewards on yearn (solana),claim_rewards,claim_rewards,1.0000,False,0.7
unstake 0.851611 WBTC from curve on base,unstake_asset,unstake_asset,0.9792,False,0.7
unstake 10978 DAI from pendle on avalanche,unstake_asset,unstake_asset,1.0000,False,0.7
pay back 31.7708 MATIC to aave on solana — ok with higher gas,repay_asset,repay_asset,1.0000,False,0.7
delegate 14.3826 ETH to yearn (avalanche) — use fast gas,stake_asset,stake_asset,1.0000,False,0.7
collect incentives at balancer (polygon) — right away,claim_rewards,claim_rewards,1.0000,False,0.7
market swap 26.3876 MATIC->WBTC using sushiswap on polygon with slippage 0.1% — right away,swap_asset,swap_asset,1.0000,False,0.7
withdraw staked 487.3202 OP from balancer ethereum — right away,unstake_asset,,0.6100,True,0.7
stake 1.271387 BTC on rocket pool (base),stake_asset,stake_asset,0.7010,False,0.7
claim rewards on maker (arbitrum),claim_rewards,claim_rewards,1.0000,False,0.7
trade 6823 USDC for ETH on curve (arbitrum) — now,swap_asset,swap_asset,1.0000,False,0.7
deposit 28.967 WETH into yearn on arbitrum,deposit_asset,deposit_asset,1.0000,False,0.7
restake 3989.2693 LINK with curve on arbitrum,stake_asset,stake_asset,1.0000,False,0.7
"unstake 4974.62 AAVE from rocket pool on avalanche — immediately, high yield mode",unstake_asset,unstake_asset,1.0000,False,0.7
pull out 15.5176 MATIC from pendle — normal mode,withdraw_asset,withdraw_asset,0.9348,False,0.7
provide 3133.7058 OP on stargate — use normal gas,deposit_asset,deposit_asset,0.9892,False,0.7
lock 7.8507 WETH in curve on solana,stake_asset,stake_asset,0.9675,False,0.7
harvest yield from lido on polygon,claim_rewards,claim_rewards,1.0000,False,0.7
unlock 21.3856 AVAX at rocket pool (polygon) — this minute,unstake_asset,unstake_asset,1.0000,False,0.7
unlock 38.9677 WETH at lido (base),unstake_asset,unstake_asset,0.9885,False,0.7
redeem 3249.1634 OP from yearn (base),withdraw_asset,withdraw_asset,1.0000,False,0.7
claim staking rewards on curve base,claim_rewards,claim_rewards,1.0000,False,0.7
restake 10622 USDC with lido on optimism — asap,stake_asset,stake_asset,0.9885,False,0.7
repay 9261 USDC on compound (ethereum) — minimize gas,repay_asset,repay_asset,0.9744,False,0.7
trade 3389.1714 OP for WBTC on curve (base) with slippage 1% — asap,swap_asset,swap_asset,1.0000,False,0.7
swap 3229.3468 LINK to AAVE on curve avalanche with slippage 0.1%,swap_asset,swap_asset,1.0000,False,0.7
claim staking rewards on pendle optimism — high yield mode,claim_rewards,claim_rewards,0.9524,False,0.7
trade 32.883 MATIC for WBTC on curve (avalanche),swap_asset,swap_asset,1.0000,False,0.7
convert 1216 USDT into WETH via balancer on ethereum,swap_asset,,0.6667,True,0.7
close debt: repay 1346 USDT at maker polygon,repay_asset,repay_asset,0.8980,False,0.7
cash out 0.05873 BTC from maker (solana) — asap,withdraw_asset,withdraw_asset,1.0000,False,0.7
unstake 40.3119 ETH from curve on polygon,unstake_asset,unstake_asset,0.7431,False,0.7
top up curve with 2.2646 AVAX on arbitrum — use fast gas,deposit_asset,deposit_asset,1.0000,False,0.7
claim staking rewards on aave solana,claim_rewards,claim_rewards,1.0000,False,0.7
swap 684.2186 LINK to USDC on uniswap arbitrum with slippage 0.2% — minimize gas,swap_asset,swap_asset,1.0000,False,0.7
open debt: 1932.7248 ARB on compound solana using LINK as collateral,borrow_asset,borrow_asset,1.0000,False,0.7
restake 9.4125 SOL with lido on avalanche — ok with higher gas,stake_asset,stake_asset,0.9885,False,0.7
pull out 3415.9313 OP from uniswap — normal mode,withdraw_asset,withdraw_asset,0.9675,False,0.7
claim rewards on maker (solana) — use fast gas,claim_rewards,claim_rewards,1.0000,False,0.7
take a loan of 3451.5982 LINK via maker (arbitrum) — high yield mode,borrow_asset,borrow_asset,0.8414,False,0.7
provide 21597 DAI on rocket pool,deposit_asset,deposit_asset,1.0000,False,0.7
remove 33.7285 MATIC from stargate,withdraw_asset,withdraw_asset,0.8170,False,0.7
market swap 25.7623 ETH->SOL using balancer on avalanche with slippage 1%,swap_asset,swap_asset,1.0000,False,0.7
swap 22.1568 SOL to ARB on curve ethereum — asap,swap_asset,swap_asset,1.0000,False,0.7
stake 1629.5167 ARB on yearn (solana),stake_asset,stake_asset,1.0000,False,0.7
reduce loan by 12486 USDC on compound (ethereum),repay_asset,repay_asset,0.8918,False,0.7
lock 3747.8802 AAVE in rocket pool on avalanche — now,stake_asset,stake_asset,0.9063,False,0.7
"withdraw staked 19757 USDT from lido ethereum — today, use fast gas, normal mode",unstake_asset,unstake_asset,1.0000,False,0.7
withdraw 222.9527 LINK from uniswap on arbitrum,withdraw_asset,withdraw_asset,0.9538,False,0.7
draw 14223 USDT from aave on ethereum,borrow_asset,,0.3167,True,0.7
pay back 16161 USDT to aave on solana — immediately,repay_asset,repay_asset,1.0000,False,0.7
redeem 1319.6368 ARB from compound (ethereum) — right away,withdraw_asset,withdraw_asset,1.0000,False,0.7
claim rewards on stargate (ethereum),claim_rewards,claim_rewards,1.0000,False,0.7
undelegate 1.00574 WBTC on pendle (solana) — immediately,unstake_asset,unstake_asset,1.0000,False,0.7
convert 11.5522 ETH into MATIC via sushiswap on base with slippage 0.2%,swap_asset,swap_asset,0.8036,False,0.7
undelegate 2664.3434 AAVE on balancer (base),unstake_asset,unstake_asset,0.9606,False,0.7
restake 33.1326 AVAX with curve on arbitrum,stake_asset,stake_asset,1.0000,False,0.7
pull out 41.2999 AVAX from lido — normal mode,withdraw_asset,withdraw_asset,0.9366,False,0.7
fund compound with 3877.0728 ARB (optimism) — this minute,deposit_asset,deposit_asset,1.0000,False,0.7
restake 4652.2459 ARB with pendle on optimism,stake_asset,stake_asset,0.9885,False,0.7
claim rewards on lido (polygon),claim_rewards,claim_rewards,1.0000,False,0.7
claim rewards on rocket pool (solana),claim_rewards,claim_rewards,1.0000,False,0.7
collect incentives at compound (polygon) — asap,claim_rewards,claim_rewards,1.0000,False,0.7
