prompt,label,top1,margin
claim staking rewards on aave base,claim_rewards,claim_rewards,0.75049704
pull out 2752.8264 ARB from lido,withdraw_asset,stake_asset,0.06438756
"restake 33.8529 MATIC with balancer on solana — this minute, use normal gas",stake_asset,deposit_asset,0.15091749
deposit 4697 USDC into uniswap on base,deposit_asset,swap_asset,0.3463613
supply 7.0245 SOL to maker,deposit_asset,withdraw_asset,0.07925233
"convert 7064 USDT into LINK via sushiswap on arbitrum — minimize gas, safe mode",swap_asset,swap_asset,0.6495759
repay 2861.82 LINK on maker (optimism) — use normal gas,repay_asset,repay_asset,0.09866163
collect incentives at balancer (base) — now,claim_rewards,claim_rewards,0.5293159
delegate 4020.4921 OP to pendle (arbitrum),stake_asset,stake_asset,0.14323646
restake 1.876441 BTC with yearn on optimism — now,stake_asset,deposit_asset,0.11068839
restake 39.238 MATIC with lido on avalanche — immediately,stake_asset,unstake_asset,0.069617
claim staking rewards on sushiswap arbitrum — use fast gas,claim_rewards,claim_rewards,0.29440385
reduce loan by 4808.8879 ARB on compound (solana) — this minute,repay_asset,repay_asset,0.10801911
remove 36.8239 SOL from aave,withdraw_asset,withdraw_asset,0.109726936
harvest yield from maker on ethereum,claim_rewards,claim_rewards,0.45626584
harvest yield from maker on ethereum,claim_rewards,claim_rewards,0.45626584
"collect incentives at compound (optimism) — use fast gas, normal mode",claim_rewards,claim_rewards,0.21549286
lock 0.668373 WBTC in pendle on avalanche,stake_asset,unstake_asset,0.08034277
unstake 786.2037 AAVE from lido on arbitrum,unstake_asset,stake_asset,0.02649808
"withdraw staked 0.667255 WBTC from pendle optimism — right away, use normal gas",unstake_asset,deposit_asset,0.28272668
"collect incentives at maker (solana) — asap, use normal gas, normal mode",claim_rewards,claim_rewards,0.26071745
convert 704.7582 AAVE into USDT via uniswap on arbitrum — minimize gas,swap_asset,swap_asset,0.22255297
harvest yield from balancer on solana — high yield mode,claim_rewards,claim_rewards,0.33534932
borrow 19.5336 AVAX from aave on base using DAI as collateral,borrow_asset,borrow_asset,0.011407137
swap 860.4607 ARB to WBTC on sushiswap arbitrum with slippage 0.1% — asap,swap_asset,swap_asset,0.73755336
cash out 0.195658 BTC from pendle (base),withdraw_asset,deposit_asset,0.05302301
unstow 4257.5573 OP from sushiswap on polygon — immediately,withdraw_asset,swap_asset,0.423526
move 20.2498 WETH into sushiswap on arbitrum,deposit_asset,swap_asset,0.58078194
undelegate 10.317 WETH on balancer (polygon),unstake_asset,unstake_asset,0.114539355
move 25.9116 MATIC into sushiswap on arbitrum — safe mode,deposit_asset,swap_asset,0.61776155
withdraw staked 1.974382 BTC from pendle arbitrum — use normal gas,unstake_asset,deposit_asset,0.12391406
withdraw 18534 USDT from sushiswap on polygon,withdraw_asset,swap_asset,0.6355001
swap 0.240081 WBTC to WETH on balancer solana,swap_asset,swap_asset,0.21794653
add liquidity: deposit 34.7951 SOL to aave (ethereum) — safe mode,deposit_asset,unstake_asset,0.00021389127
market swap 5930 USDT->SOL using sushiswap on arbitrum — safe mode,swap_asset,swap_asset,0.7984143
claim rewards on lido (polygon),claim_rewards,claim_rewards,0.36133197
claim rewards on lido (polygon),claim_rewards,claim_rewards,0.36133197
reduce loan by 27.7855 SOL on maker (polygon) — use normal gas,repay_asset,borrow_asset,0.15538499
claim rewards on yearn (solana),claim_rewards,claim_rewards,0.6715236
claim rewards on yearn (solana),claim_rewards,claim_rewards,0.6715236
claim rewards on yearn (solana),claim_rewards,claim_rewards,0.6715236
unstake 0.851611 WBTC from curve on base,unstake_asset,withdraw_asset,0.067352355
unstake 10978 DAI from pendle on avalanche,unstake_asset,unstake_asset,0.057664394
pay back 31.7708 MATIC to aave on solana — ok with higher gas,repay_asset,repay_asset,0.1865564
