prompt,gold,pred,score,ok,reason,spans,tags
claim staking rewards on aave base,claim_rewards,claim_rewards,2.775406,True,,"[{'primitive': 'claim_rewards', 'term': 'claim', 'score': 1.0000001192092896, 't_center': 0.08333333333333333}, {'primitive': 'claim_rewards', 'term': 'staking rewards', 'score': 0.9562922146146238, 't_center': 0.3333333333333333}, {'primitive': 'claim_rewards', 'term': 'staking rewards on', 'score': 0.9436988301636183, 't_center': 0.4166666666666667}]","{'accepts': ['claim_rewards', 'stake_asset', 'unstake_asset'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 1.896597146987915, 'unstake_asset': 1.6793131828308105, 'claim_rewards': 2.7754063606262207}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 1.8967158794403076, 'unstake_asset': 1.6793131828308105, 'claim_rewards': 2.780315637588501}, 'norm': {'n_tokens': 6}}"
pull out 2752.8264 ARB from lido,withdraw_asset,withdraw_asset,1.894145,True,,"[{'primitive': 'withdraw_asset', 'term': 'pull out', 'score': 1.0, 't_center': 0.14285714285714285}, {'primitive': 'withdraw_asset', 'term': 'pull', 'score': 0.892836445143011, 't_center': 0.07142857142857142}, {'primitive': 'withdraw_asset', 'term': 'from', 'score': 0.7077332735061646, 't_center': 0.7857142857142857}]","{'accepts': ['withdraw_asset', 'unstake_asset'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 1.8941452503204346, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 1.1825907230377197, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 2.0219104290008545, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 1.1825907230377197, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 7}}"
"restake 33.8529 MATIC with balancer on solana — this minute, use normal gas",stake_asset,stake_asset,2.508028,True,,"[{'primitive': 'stake_asset', 'term': 'restake', 'score': 1.0, 't_center': 0.038461538461538464}, {'primitive': 'stake_asset', 'term': 'restake 33', 'score': 0.814277172088623, 't_center': 0.07692307692307693}, {'primitive': 'stake_asset', 'term': 'restake 33 8529', 'score': 0.6937506198883057, 't_center': 0.11538461538461539}]","{'accepts': ['stake_asset'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.508028030395508, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.508028030395508, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 13}}"
deposit 4697 USDC into uniswap on base,deposit_asset,deposit_asset,2.443419,True,,"[{'primitive': 'deposit_asset', 'term': 'deposit', 'score': 1.0, 't_center': 0.07142857142857142}, {'primitive': 'deposit_asset', 'term': 'deposit 4697', 'score': 0.7582690715789795, 't_center': 0.14285714285714285}, {'primitive': 'deposit_asset', 'term': 'deposit 4697 usdc', 'score': 0.6851495504379272, 't_center': 0.21428571428571427}]","{'accepts': ['deposit_asset', 'unstake_asset'], 'scores': {'deposit_asset': 2.443418502807617, 'withdraw_asset': 0.8566179275512695, 'swap_asset': 0.5866872072219849, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.5033189058303833, 'unstake_asset': 1.6835403442382812, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 2.443418502807617, 'withdraw_asset': 0.8899191617965698, 'swap_asset': 0.5866872072219849, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.5033189654350281, 'unstake_asset': 1.6914955377578735, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 7}}"
supply 7.0245 SOL to maker,deposit_asset,deposit_asset,2.403501,True,,"[{'primitive': 'deposit_asset', 'term': 'supply', 'score': 1.0000001192092896, 't_center': 0.08333333333333333}, {'primitive': 'deposit_asset', 'term': 'supply 7', 'score': 0.7781437635421753, 't_center': 0.16666666666666666}, {'primitive': 'deposit_asset', 'term': 'supply 7 0245', 'score': 0.625357136087759, 't_center': 0.25}]","{'accepts': ['deposit_asset'], 'scores': {'deposit_asset': 2.403501033782959, 'withdraw_asset': 0.46810010075569153, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 2.403501033782959, 'withdraw_asset': 0.5123564004898071, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 6}}"
"convert 7064 USDT into LINK via sushiswap on arbitrum — minimize gas, safe mode",swap_asset,swap_asset,2.161005,True,,"[{'primitive': 'swap_asset', 'term': 'convert', 'score': 1.0, 't_center': 0.038461538461538464}, {'primitive': 'swap_asset', 'term': 'into', 'score': 0.5866871968880657, 't_center': 0.2692307692307692}, {'primitive': 'swap_asset', 'term': 'convert 7064', 'score': 0.574317455291748, 't_center': 0.07692307692307693}]","{'accepts': ['swap_asset', 'deposit_asset'], 'scores': {'deposit_asset': 1.2538812160491943, 'withdraw_asset': 0.5383731126785278, 'swap_asset': 2.1610045433044434, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.5033189058303833, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 1.2538813352584839, 'withdraw_asset': 0.5383731126785278, 'swap_asset': 2.1610045433044434, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.5033189654350281, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 13}}"
repay 2861.82 LINK on maker (optimism) — use normal gas,repay_asset,repay_asset,2.380891,True,,"[{'primitive': 'repay_asset', 'term': 'repay', 'score': 1.0, 't_center': 0.05}, {'primitive': 'repay_asset', 'term': 'repay 2861', 'score': 0.7130882143974304, 't_center': 0.1}, {'primitive': 'repay_asset', 'term': 'repay 2861 82', 'score': 0.6678025126457214, 't_center': 0.15}]","{'accepts': ['repay_asset'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.5025017261505127, 'swap_asset': 0.0, 'borrow_asset': 0.6416099667549133, 'repay_asset': 2.3808908462524414, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.5025017857551575, 'swap_asset': 0.0, 'borrow_asset': 0.6416099667549133, 'repay_asset': 2.3808908462524414, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 10}}"
collect incentives at balancer (base) — now,claim_rewards,claim_rewards,2.885194,True,,"[{'primitive': 'claim_rewards', 'term': 'collect incentives', 'score': 1.0, 't_center': 0.16666666666666666}, {'primitive': 'claim_rewards', 'term': 'collect incentives at', 'score': 0.9656234383583069, 't_center': 0.25}, {'primitive': 'claim_rewards', 'term': 'incentives', 'score': 0.9195700883865356, 't_center': 0.25}]","{'accepts': ['claim_rewards'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 2.8851935863494873}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 2.885193347930908}, 'norm': {'n_tokens': 6}}"
delegate 4020.4921 OP to pendle (arbitrum),stake_asset,stake_asset,2.37671,True,,"[{'primitive': 'stake_asset', 'term': 'delegate', 'score': 1.0, 't_center': 0.07142857142857142}, {'primitive': 'stake_asset', 'term': 'delegate 4020', 'score': 0.7103394693338555, 't_center': 0.14285714285714285}, {'primitive': 'stake_asset', 'term': 'delegate 4020 4921', 'score': 0.6663702726364136, 't_center': 0.21428571428571427}]","{'accepts': ['stake_asset'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.512383759021759, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.3767099380493164, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.512383759021759, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.3767096996307373, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 7}}"
restake 1.876441 BTC with yearn on optimism — now,stake_asset,stake_asset,2.668569,True,,"[{'primitive': 'stake_asset', 'term': 'restake', 'score': 1.0, 't_center': 0.05555555555555555}, {'primitive': 'stake_asset', 'term': 'restake 1', 'score': 0.9159579873085022, 't_center': 0.1111111111111111}, {'primitive': 'stake_asset', 'term': 'restake 1 876441', 'score': 0.7526109218597412, 't_center': 0.16666666666666666}]","{'accepts': ['stake_asset'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.6685690879821777, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.6685688495635986, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 9}}"
