kind,prompt,label,top1,verify_ok,reason,stable_top1,top1_list
exec,take a max LTV loan on aave (ethereum) — push it to the limit and borrow as much DAI as possible,,borrow_asset,True,,True,['borrow_asset']
exec,open debt on compound ethereum at 90% LTV in MATIC using WBTC collateral,,borrow_asset,True,,True,['borrow_asset']
exec,borrow 20000 USDC from aave on avalanche using just 1000 OP as collateral,,borrow_asset,True,,True,['borrow_asset']
exec,open debt on maker optimism at 90% LTV in AAVE using ARB collateral,,borrow_asset,True,,True,['borrow_asset']
exec,borrow 20000 ARB from aave on avalanche using just 1000 WETH as collateral,,borrow_asset,True,,True,['borrow_asset']
exec,draw ETH on aave avalanche with minimal collateral — target 85% LTV,,borrow_asset,True,,True,['borrow_asset']
exec,max out LTV and borrow WBTC against tiny SOL on maker (polygon),,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on maker (optimism) — push it to the limit and borrow as much AAVE as possible,,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on compound (optimism) — push it to the limit and borrow as much WETH as possible,,borrow_asset,True,,True,['borrow_asset']
exec,borrow 20000 AAVE from aave on ethereum using just 1000 BTC as collateral,,borrow_asset,True,,True,['borrow_asset']
exec,open debt on aave ethereum at 90% LTV in USDC using BTC collateral,,borrow_asset,True,,True,['borrow_asset']
exec,draw AAVE on maker avalanche with minimal collateral — target 85% LTV,,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on compound (base) — push it to the limit and borrow as much SOL as possible,,borrow_asset,True,,True,['borrow_asset']
exec,open debt on maker arbitrum at 90% LTV in LINK using ETH collateral,,borrow_asset,True,,True,['borrow_asset']
exec,max out LTV and borrow AVAX against tiny AAVE on aave (solana),,borrow_asset,True,,True,['borrow_asset']
exec,draw OP on maker solana with minimal collateral — target 85% LTV,,borrow_asset,True,,True,['borrow_asset']
exec,max out LTV and borrow DAI against tiny ETH on aave (avalanche),,borrow_asset,True,,True,['borrow_asset']
exec,open debt on compound optimism at 90% LTV in SOL using AVAX collateral,,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on maker (arbitrum) — push it to the limit and borrow as much USDT as possible,,borrow_asset,True,,True,['borrow_asset']
exec,max out LTV and borrow BTC against tiny OP on compound (solana),,borrow_asset,True,,True,['borrow_asset']
exec,draw WETH on compound base with minimal collateral — target 85% LTV,,borrow_asset,True,,True,['borrow_asset']
